time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall offer [Mb/s],offer last interval [Mb/s]
934500.0,0,200469,NaN,2.00332476E8,1.714991768860353,NaN
935000.0,0,200469,NaN,2.00332476E8,1.714074660962567,NaN
935500.0,0,200469,NaN,2.00332476E8,1.7131585334045965,NaN
936000.0,0,200469,NaN,2.00332476E8,1.7122433846153848,NaN
936500.0,0,200469,NaN,2.00332476E8,1.711329213027229,NaN
937000.0,0,200469,NaN,2.00332476E8,1.7104160170757736,NaN
937500.0,0,200469,NaN,2.00332476E8,1.7095037952,NaN
938000.0,0,200469,NaN,2.00332476E8,1.7085925458422175,NaN
938500.0,0,200469,NaN,2.00332476E8,1.7076822674480554,NaN
939000.0,0,200469,NaN,2.00332476E8,1.7067729584664537,NaN
939500.0,0,200469,NaN,2.00332476E8,1.7058646173496539,NaN
940000.0,0,200469,NaN,2.00332476E8,1.7049572425531916,NaN
940500.0,0,200469,NaN,2.00332476E8,1.704050832535885,NaN
941000.0,0,200469,NaN,2.00332476E8,1.7031453857598298,NaN
941500.0,0,200469,NaN,2.00332476E8,1.7022409006903878,NaN
942000.0,0,200469,NaN,2.00332476E8,1.7013373757961783,NaN
942500.0,0,200469,NaN,2.00332476E8,1.7004348095490716,NaN
943000.0,0,200469,NaN,2.00332476E8,1.6995332004241783,NaN
943500.0,0,200469,NaN,2.00332476E8,1.698632546899841,NaN
944000.0,0,200469,NaN,2.00332476E8,1.697732847457627,NaN
944500.0,0,200469,NaN,2.00332476E8,1.6968341005823189,NaN
945000.0,0,200469,NaN,2.00332476E8,1.6959363047619047,NaN
945500.0,0,200469,NaN,2.00332476E8,1.6950394584875728,NaN
946000.0,0,200469,NaN,2.00332476E8,1.6941435602536998,NaN
946500.0,0,200469,NaN,2.00332476E8,1.6932486085578444,NaN
947000.0,0,200469,NaN,2.00332476E8,1.6923546019007392,NaN
947500.0,0,200469,NaN,2.00332476E8,1.6914615387862797,NaN
948000.0,0,200469,NaN,2.00332476E8,1.690569417721519,NaN
948500.0,0,200469,NaN,2.00332476E8,1.6896782372166579,NaN
949000.0,0,200469,NaN,2.00332476E8,1.688787995785037,NaN
949500.0,0,200469,NaN,2.00332476E8,1.6878986919431278,NaN
950000.0,0,200469,NaN,2.00332476E8,1.687010324210526,NaN
950500.0,0,200469,NaN,2.00332476E8,1.6861228911099422,NaN
