time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
1053500.0,0,168238,NaN,1.68043131E8,1.2760750336971998,NaN
1054000.0,0,168238,NaN,1.68043131E8,1.2754696850094878,NaN
1054500.0,0,168238,NaN,1.68043131E8,1.2748649103840684,NaN
1055000.0,0,168238,NaN,1.68043131E8,1.2742607090047393,NaN
1055500.0,0,168238,NaN,1.68043131E8,1.2736570800568452,NaN
1056000.0,0,168238,NaN,1.68043131E8,1.2730540227272726,NaN
1056500.0,0,168238,NaN,1.68043131E8,1.2724515362044486,NaN
1057000.0,0,168238,NaN,1.68043131E8,1.2718496196783349,NaN
1057500.0,0,168238,NaN,1.68043131E8,1.2712482723404255,NaN
1058000.0,0,168238,NaN,1.68043131E8,1.2706474933837428,NaN
1058500.0,0,168238,NaN,1.68043131E8,1.2700472820028341,NaN
1059000.0,0,168238,NaN,1.68043131E8,1.2694476373937678,NaN
1059500.0,0,168238,NaN,1.68043131E8,1.2688485587541294,NaN
1060000.0,0,168238,NaN,1.68043131E8,1.2682500452830188,NaN
1060500.0,0,168238,NaN,1.68043131E8,1.2676520961810467,NaN
1061000.0,0,168238,NaN,1.68043131E8,1.26705471065033,NaN
1061500.0,0,168238,NaN,1.68043131E8,1.2664578878944888,NaN
1062000.0,0,168238,NaN,1.68043131E8,1.265861627118644,NaN
1062500.0,0,168238,NaN,1.68043131E8,1.2652659275294118,NaN
1063000.0,0,168238,NaN,1.68043131E8,1.2646707883349013,NaN
1063500.0,0,168238,NaN,1.68043131E8,1.2640762087447108,NaN
1064000.0,0,168238,NaN,1.68043131E8,1.263482187969925,NaN
1064500.0,0,168238,NaN,1.68043131E8,1.2628887252231096,NaN
1065000.0,0,168238,NaN,1.68043131E8,1.2622958197183096,NaN
1065500.0,0,168238,NaN,1.68043131E8,1.2617034706710466,NaN
1066000.0,0,168238,NaN,1.68043131E8,1.2611116772983113,NaN
